Date,0700.HK,0005.HK,0016.HK,0857.HK,0941.HK,0241.HK,0175.HK,1099.HK,1299.HK,0027.HK
2023-01-17,373.79998779296875,56.650001525878906,109.19999694824219,3.869999885559082,54.900001525878906,7.349999904632568,11.5,19.34000015258789,85.5999984741211,52.95000076293945
2023-01-18,380.0,56.79999923706055,109.80000305175781,3.9200000762939453,55.150001525878906,7.300000190734863,11.680000305175781,19.219999313354492,86.75,54.900001525878906
2023-01-19,382.79998779296875,56.650001525878906,110.30000305175781,3.880000114440918,55.099998474121094,7.090000152587891,11.859999656677246,19.219999313354492,87.44999694824219,54.349998474121094
2023-01-20,391.79998779296875,56.900001525878906,111.5999984741211,4.019999980926514,55.900001525878906,7.369999885559082,12.039999961853027,19.31999969482422,87.5999984741211,54.900001525878906
2023-01-26,406.79998779296875,57.900001525878906,112.9000015258789,4.170000076293945,56.54999923706055,7.679999828338623,12.859999656677246,19.5,90.0,54.349998474121094
2023-01-27,415.0,57.95000076293945,113.30000305175781,4.199999809265137,56.70000076293945,7.659999847412109,13.039999961853027,19.719999313354492,89.0,54.599998474121094
2023-01-30,387.20001220703125,57.849998474121094,114.80000305175781,4.179999828338623,56.5,7.050000190734863,12.859999656677246,19.6200008392334,89.3499984741211,54.04999923706055
2023-01-31,382.20001220703125,57.95000076293945,111.0999984741211,4.170000076293945,56.20000076293945,6.96999979019165,12.640000343322754,19.219999313354492,88.55000305175781,54.400001525878906
2023-02-01,385.0,57.04999923706055,111.30000305175781,4.21999979019165,56.79999923706055,7.050000190734863,13.279999732971191,19.739999771118164,86.94999694824219,56.400001525878906
2023-02-02,383.0,57.650001525878906,111.0,4.210000038146973,56.79999923706055,6.829999923706055,12.84000015258789,19.780000686645508,85.3499984741211,55.349998474121094
2023-02-03,385.0,55.900001525878906,113.0999984741211,4.099999904632568,56.75,6.820000171661377,12.640000343322754,19.68000030517578,84.94999694824219,54.79999923706055
2023-02-06,376.79998779296875,56.599998474121094,112.19999694824219,4.070000171661377,56.599998474121094,6.329999923706055,12.15999984741211,19.299999237060547,85.5999984741211,54.25
2023-02-07,380.0,56.599998474121094,110.5,4.099999904632568,56.29999923706055,6.340000152587891,12.079999923706055,19.18000030517578,85.4000015258789,52.849998474121094
2023-02-08,382.20001220703125,57.79999923706055,112.30000305175781,4.119999885559082,56.150001525878906,6.110000133514404,11.760000228881836,19.34000015258789,85.69999694824219,52.70000076293945
2023-02-09,395.6000061035156,58.0,112.0,4.119999885559082,56.599998474121094,6.380000114440918,12.020000457763672,19.280000686645508,87.8499984741211,54.400001525878906
2023-02-10,383.3999938964844,58.0,112.0,4.099999904632568,56.95000076293945,6.050000190734863,11.619999885559082,20.100000381469727,86.19999694824219,53.849998474121094
2023-02-13,386.6000061035156,57.75,109.0999984741211,4.130000114440918,57.0,6.119999885559082,11.739999771118164,21.200000762939453,86.05000305175781,54.099998474121094
2023-02-14,378.6000061035156,58.20000076293945,111.69999694824219,4.130000114440918,56.79999923706055,5.949999809265137,11.699999809265137,21.600000381469727,86.30000305175781,53.599998474121094
2023-02-15,377.0,57.54999923706055,109.69999694824219,4.099999904632568,56.599998474121094,5.699999809265137,11.619999885559082,21.700000762939453,84.0999984741211,53.400001525878906
2023-02-16,382.6000061035156,58.099998474121094,111.0999984741211,4.119999885559082,57.75,5.900000095367432,11.699999809265137,21.5,85.19999694824219,52.5
2023-02-17,373.79998779296875,58.20000076293945,110.9000015258789,4.130000114440918,57.349998474121094,6.010000228881836,11.5600004196167,21.600000381469727,83.6500015258789,52.20000076293945
2023-02-20,377.0,58.75,111.30000305175781,4.170000076293945,59.099998474121094,6.090000152587891,11.520000457763672,21.5,83.25,51.75
2023-02-21,361.79998779296875,57.599998474121094,111.0,4.190000057220459,58.900001525878906,5.860000133514404,11.539999961853027,21.5,82.5,51.650001525878906
2023-02-22,356.0,60.650001525878906,111.9000015258789,4.150000095367432,58.349998474121094,5.789999961853027,11.380000114440918,21.850000381469727,82.4000015258789,51.75
2023-02-23,356.0,59.349998474121094,110.69999694824219,4.130000114440918,58.599998474121094,5.900000095367432,11.420000076293945,21.950000762939453,81.0999984741211,51.900001525878906
2023-02-24,349.3999938964844,59.54999923706055,108.4000015258789,4.119999885559082,57.95000076293945,5.710000038146973,10.800000190734863,21.600000381469727,81.19999694824219,53.25
2023-02-27,349.3999938964844,59.04999923706055,108.0999984741211,4.079999923706055,57.29999923706055,5.71999979019165,10.720000267028809,21.049999237060547,82.1500015258789,52.150001525878906
2023-02-28,343.6000061035156,59.29999923706055,107.19999694824219,4.019999980926514,58.79999923706055,5.599999904632568,10.180000305175781,21.0,83.25,52.20000076293945
2023-03-01,368.79998779296875,60.25,108.80000305175781,4.110000133514404,60.599998474121094,6.050000190734863,10.619999885559082,21.299999237060547,85.5,53.849998474121094
2023-03-02,362.79998779296875,58.25,107.5999984741211,4.150000095367432,61.0,6.0,10.479999542236328,21.5,86.1500015258789,52.79999923706055
2023-03-03,367.6000061035156,58.0,107.19999694824219,4.269999980926514,62.0,6.070000171661377,10.619999885559082,21.799999237060547,86.19999694824219,52.95000076293945
2023-03-06,363.0,58.150001525878906,109.0,4.309999942779541,64.0,5.96999979019165,10.600000381469727,22.399999618530273,86.6500015258789,54.29999923706055
2023-03-07,357.0,58.400001525878906,110.0,4.5,62.25,5.840000152587891,10.699999809265137,22.5,86.55000305175781,53.95000076293945
2023-03-08,349.6000061035156,57.95000076293945,106.5999984741211,4.480000019073486,62.0,5.679999828338623,10.239999771118164,22.350000381469727,84.75,52.45000076293945
2023-03-09,340.20001220703125,58.54999923706055,105.0,4.420000076293945,63.900001525878906,5.570000171661377,10.020000457763672,22.25,85.5,52.900001525878906
2023-03-10,331.6000061035156,56.400001525878906,102.0999984741211,4.320000171661377,62.0,5.380000114440918,9.470000267028809,21.700000762939453,81.55000305175781,50.75
2023-03-13,344.79998779296875,56.29999923706055,104.4000015258789,4.489999771118164,64.8499984741211,5.539999961853027,9.279999732971191,21.799999237060547,84.44999694824219,52.29999923706055
2023-03-14,341.6000061035156,53.650001525878906,106.0,4.320000171661377,63.70000076293945,5.369999885559082,8.90999984741211,21.600000381469727,80.75,51.099998474121094
2023-03-15,344.6000061035156,55.20000076293945,104.69999694824219,4.360000133514404,64.69999694824219,5.670000076293945,9.119999885559082,22.0,80.5,51.0
2023-03-16,336.0,53.900001525878906,103.9000015258789,4.190000057220459,64.44999694824219,5.889999866485596,9.15999984741211,23.799999237060547,76.4000015258789,50.400001525878906
2023-03-17,339.3999938964844,53.79999923706055,105.9000015258789,4.389999866485596,65.94999694824219,6.039999961853027,9.300000190734863,24.049999237060547,78.94999694824219,51.650001525878906
2023-03-20,334.79998779296875,50.45000076293945,104.5,4.269999980926514,63.599998474121094,5.809999942779541,9.149999618530273,23.0,75.6500015258789,50.150001525878906
2023-03-21,343.6000061035156,51.900001525878906,105.4000015258789,4.25,62.70000076293945,5.929999828338623,9.5,23.049999237060547,77.8499984741211,50.79999923706055
2023-03-22,347.20001220703125,53.5,106.19999694824219,4.320000171661377,63.45000076293945,5.940000057220459,9.760000228881836,22.850000381469727,80.6500015258789,51.650001525878906
2023-03-23,375.6000061035156,53.70000076293945,106.69999694824219,4.360000133514404,63.599998474121094,6.159999847412109,10.100000381469727,22.700000762939453,81.0999984741211,52.0
2023-03-24,376.79998779296875,52.150001525878906,107.19999694824219,4.25,62.54999923706055,6.380000114440918,10.020000457763672,22.799999237060547,81.55000305175781,51.599998474121094
2023-03-27,362.79998779296875,51.650001525878906,108.0999984741211,4.260000228881836,62.400001525878906,6.309999942779541,9.779999732971191,22.5,80.55000305175781,51.79999923706055
2023-03-28,378.20001220703125,52.650001525878906,108.9000015258789,4.300000190734863,62.150001525878906,6.0,9.970000267028809,23.350000381469727,81.8499984741211,51.599998474121094
2023-03-29,384.79998779296875,52.95000076293945,109.5,4.340000152587891,62.0,6.309999942779541,9.949999809265137,23.299999237060547,83.0999984741211,51.400001525878906
2023-03-30,385.0,53.79999923706055,110.5999984741211,4.679999828338623,62.349998474121094,5.809999942779541,9.970000267028809,23.149999618530273,83.0,51.599998474121094
2023-03-31,385.79998779296875,53.20000076293945,110.0,4.650000095367432,63.599998474121094,5.679999828338623,10.100000381469727,23.75,82.6500015258789,52.45000076293945
2023-04-03,388.20001220703125,54.20000076293945,108.5,4.71999979019165,64.30000305175781,5.789999961853027,10.0600004196167,24.049999237060547,83.5999984741211,55.54999923706055
2023-04-04,385.0,54.650001525878906,109.0999984741211,4.820000171661377,65.6500015258789,5.599999904632568,9.739999771118164,24.200000762939453,83.5,56.25
2023-04-06,385.3999938964844,54.20000076293945,109.69999694824219,4.789999961853027,65.94999694824219,5.809999942779541,9.75,25.0,83.69999694824219,54.70000076293945
2023-04-11,376.6000061035156,54.79999923706055,110.30000305175781,4.880000114440918,65.19999694824219,6.0,9.970000267028809,24.399999618530273,84.5,55.0
2023-04-12,357.20001220703125,54.75,110.5,4.980000019073486,65.19999694824219,5.849999904632568,9.850000381469727,25.0,85.6500015258789,55.20000076293945
2023-04-13,363.20001220703125,55.25,110.19999694824219,5.010000228881836,65.9000015258789,5.949999809265137,9.760000228881836,25.0,84.75,54.25
2023-04-14,365.3999938964844,55.599998474121094,110.5,5.079999923706055,66.94999694824219,5.860000133514404,10.140000343322754,24.899999618530273,84.55000305175781,53.79999923706055
2023-04-17,371.0,56.900001525878906,109.30000305175781,5.329999923706055,69.0,5.889999866485596,10.520000457763672,25.600000381469727,85.9000015258789,55.95000076293945
2023-04-18,365.3999938964844,56.349998474121094,109.30000305175781,5.309999942779541,68.9000015258789,5.860000133514404,10.380000114440918,25.799999237060547,85.75,55.5
2023-04-19,357.20001220703125,55.849998474121094,106.19999694824219,5.190000057220459,67.69999694824219,5.710000038146973,9.989999771118164,26.399999618530273,85.0,57.95000076293945
2023-04-20,357.0,56.349998474121094,107.4000015258789,5.230000019073486,67.5,5.730000019073486,9.869999885559082,27.399999618530273,83.75,58.29999923706055
2023-04-21,349.20001220703125,55.95000076293945,107.5,5.230000019073486,66.94999694824219,5.480000019073486,9.680000305175781,27.600000381469727,82.80000305175781,57.650001525878906
2023-04-24,345.0,55.95000076293945,107.5999984741211,5.21999979019165,67.30000305175781,5.75,9.640000343322754,27.450000762939453,82.44999694824219,56.75
2023-04-25,338.3999938964844,55.5,106.4000015258789,5.329999923706055,67.9000015258789,5.559999942779541,9.569999694824219,26.850000381469727,82.75,54.900001525878906
2023-04-26,348.20001220703125,55.25,107.30000305175781,5.329999923706055,67.19999694824219,5.630000114440918,9.75,27.450000762939453,83.8499984741211,54.29999923706055
2023-04-27,345.0,56.25,108.30000305175781,5.340000152587891,67.44999694824219,5.619999885559082,9.739999771118164,28.25,85.19999694824219,53.95000076293945
2023-04-28,344.3999938964844,56.150001525878906,109.0,5.429999828338623,67.6500015258789,5.610000133514404,9.649999618530273,27.75,84.94999694824219,55.5
2023-05-02,345.79998779296875,58.650001525878906,106.80000305175781,5.409999847412109,67.25,5.539999961853027,9.5,27.850000381469727,85.44999694824219,56.70000076293945
2023-05-03,339.3999938964844,58.849998474121094,106.80000305175781,5.170000076293945,66.8499984741211,5.309999942779541,9.399999618530273,27.549999237060547,84.5,55.650001525878906
2023-05-04,337.79998779296875,58.650001525878906,108.9000015258789,5.300000190734863,68.44999694824219,5.340000152587891,9.59000015258789,27.75,84.44999694824219,54.70000076293945
2023-05-05,342.79998779296875,58.45000076293945,110.5999984741211,5.269999980926514,68.44999694824219,5.510000228881836,9.65999984741211,27.549999237060547,81.55000305175781,53.849998474121094
2023-05-08,340.79998779296875,59.5,109.9000015258789,5.480000019073486,69.6500015258789,5.480000019073486,9.8100004196167,27.450000762939453,84.0,53.20000076293945
2023-05-09,328.3999938964844,59.29999923706055,107.69999694824219,5.489999771118164,68.1500015258789,5.179999828338623,9.640000343322754,27.600000381469727,80.9000015258789,51.20000076293945
2023-05-10,329.6000061035156,59.349998474121094,105.80000305175781,5.5,67.6500015258789,5.130000114440918,9.829999923706055,27.299999237060547,81.0,51.95000076293945
2023-05-11,326.3999938964844,58.95000076293945,105.0,5.420000076293945,67.0999984741211,5.110000133514404,9.869999885559082,27.049999237060547,80.94999694824219,51.54999923706055
2023-05-12,328.20001220703125,58.75,103.19999694824219,5.369999885559082,66.0,5.050000190734863,9.770000457763672,26.649999618530273,79.75,51.04999923706055
2023-05-15,341.0,59.25,105.0999984741211,5.420000076293945,66.1500015258789,5.110000133514404,9.829999923706055,26.700000762939453,82.0999984741211,51.95000076293945
2023-05-16,344.79998779296875,59.70000076293945,105.69999694824219,5.489999771118164,65.69999694824219,5.079999923706055,9.729999542236328,26.700000762939453,81.19999694824219,52.0
2023-05-17,342.79998779296875,58.650001525878906,103.80000305175781,5.340000152587891,64.3499984741211,4.869999885559082,9.470000267028809,26.799999237060547,79.19999694824219,51.04999923706055
2023-05-18,339.79998779296875,59.45000076293945,103.0,5.519999980926514,65.5999984741211,4.789999961853027,9.460000038146973,26.899999618530273,79.25,51.900001525878906
2023-05-19,333.20001220703125,59.45000076293945,103.5,5.400000095367432,66.4000015258789,4.679999828338623,9.420000076293945,26.799999237060547,78.9000015258789,52.0
2023-05-22,340.20001220703125,59.75,104.19999694824219,5.420000076293945,67.1500015258789,4.900000095367432,9.619999885559082,26.899999618530273,79.94999694824219,52.099998474121094
2023-05-23,335.6000061035156,59.599998474121094,103.30000305175781,5.400000095367432,65.94999694824219,4.889999866485596,9.680000305175781,27.049999237060547,78.30000305175781,52.150001525878906
2023-05-24,332.3999938964844,59.25,103.30000305175781,5.329999923706055,64.9000015258789,4.670000076293945,9.59000015258789,26.75,77.05000305175781,49.900001525878906
2023-05-25,322.3999938964844,58.349998474121094,101.80000305175781,5.21999979019165,64.4000015258789,4.769999980926514,9.279999732971191,26.450000762939453,76.5,49.349998474121094
2023-05-29,313.20001220703125,58.75,101.5,5.340000152587891,64.0,4.650000095367432,9.180000305175781,26.200000762939453,76.5999984741211,49.150001525878906
2023-05-30,316.20001220703125,58.849998474121094,102.0,5.349999904632568,64.3499984741211,4.739999771118164,9.239999771118164,25.649999618530273,76.5,50.20000076293945
2023-05-31,310.6000061035156,57.70000076293945,99.69999694824219,5.059999942779541,63.650001525878906,4.639999866485596,9.109999656677246,25.649999618530273,75.0999984741211,48.54999923706055
2023-06-01,315.3999938964844,57.349998474121094,98.80000305175781,5.179999828338623,63.25,4.630000114440918,9.010000228881836,25.600000381469727,75.19999694824219,47.79999923706055
2023-06-02,334.20001220703125,58.20000076293945,101.80000305175781,5.329999923706055,64.4000015258789,4.849999904632568,9.5,26.149999618530273,78.0,49.79999923706055
2023-06-05,338.20001220703125,59.150001525878906,103.19999694824219,5.369999885559082,65.44999694824219,4.929999828338623,9.380000114440918,26.399999618530273,79.9000015258789,50.25
2023-06-06,331.20001220703125,59.04999923706055,102.69999694824219,5.510000228881836,65.75,4.860000133514404,9.4399995803833,26.399999618530273,79.5,49.79999923706055
2023-06-07,335.6000061035156,59.650001525878906,102.69999694824219,5.510000228881836,63.20000076293945,4.929999828338623,9.539999961853027,26.100000381469727,79.94999694824219,51.099998474121094
