Date,TCS.NS,INFY.NS,RELIANCE.NS,HDFCBANK.NS,LT.NS,HINDUNILVR.NS,ASIANPAINT.NS,COALINDIA.NS,NTPC.NS,TATAMOTORS.NS
2014-02-24,1088.949951171875,468.73748779296875,371.37908935546875,335.5,723.0999755859375,554.9000244140625,470.79998779296875,252.0,97.41666412353516,392.34173583984375
2014-02-25,1094.449951171875,472.86248779296875,370.5561828613281,335.54998779296875,725.2666625976562,554.4500122070312,472.04998779296875,246.14999389648438,96.54166412353516,394.27105712890625
2014-02-26,1091.074951171875,475.9375,370.624755859375,338.70001220703125,731.0999755859375,554.75,477.1499938964844,244.0,96.20833587646484,396.9423828125
2014-02-28,1137.875,478.10626220703125,365.7102355957031,334.79998779296875,739.7666625976562,549.25,473.0,244.0,93.66666412353516,412.5252685546875
2014-03-03,1120.0250244140625,474.78125,367.2874450683594,333.1000061035156,731.7000122070312,543.2000122070312,472.95001220703125,244.35000610351562,92.66666412353516,406.3415832519531
2014-03-04,1120.324951171875,474.9437561035156,371.65338134765625,335.8500061035156,744.4666748046875,554.9000244140625,475.6000061035156,247.14999389648438,94.875,408.5182189941406
2014-03-05,1125.949951171875,477.7124938964844,368.9332580566406,334.875,748.9000244140625,551.2000122070312,474.6000061035156,251.5500030517578,95.04166412353516,405.2532653808594
2014-03-06,1120.375,478.98748779296875,375.9964599609375,337.79998779296875,761.6666870117188,549.0499877929688,474.54998779296875,257.1000061035156,97.25,404.1154479980469
2014-03-07,1114.25,467.5375061035156,397.4604187011719,355.7250061035156,799.0999755859375,550.4000244140625,481.0,264.79998779296875,96.95833587646484,404.758544921875
2014-03-10,1071.324951171875,458.95001220703125,404.7979431152344,367.2250061035156,824.5999755859375,557.2000122070312,484.8500061035156,258.79998779296875,97.5,391.7975769042969
2014-03-11,1075.824951171875,459.41876220703125,399.9062805175781,362.57501220703125,820.0333251953125,560.3499755859375,480.70001220703125,255.75,97.83333587646484,393.7268981933594
