Date,BARC.L,BP.L,BHP.L,AZN.L,VOD.L,TSCO.L,RR.L,NG.L,ULVR.L,BBY.L
2014-10-24,226.35000610351562,432.8500061035156,1627.0,4327.5,200.5,213.74989318847656,272.8186950683594,971.9995727539062,2406.0,157.6999969482422
2014-10-27,221.85000610351562,430.25,1611.0,4367.0,197.6999969482422,214.19320678710938,267.4996032714844,975.2722778320312,2427.0,157.10000610351562
2014-10-28,223.0,437.0,1631.5,4397.0,203.5500030517578,215.07989501953125,269.7301025390625,981.8178100585938,2456.0,158.5
2014-10-29,220.5,445.29998779296875,1630.0,4444.0,205.3000030517578,219.57650756835938,275.2207946777344,985.0905151367188,2476.0,154.60000610351562
2014-10-30,222.5500030517578,444.0,1615.5,4500.0,206.4499969482422,219.51319885253906,279.8536071777344,997.0905151367188,2475.0,153.0
2014-10-31,240.8000030517578,449.0,1610.5,4543.5,207.3000030517578,219.89320373535156,289.29071044921875,1010.181396484375,2514.0,153.6999969482422
2014-11-03,237.0,443.70001220703125,1610.5,4520.5,206.0,220.0832061767578,286.54541015625,997.635986328125,2475.0,154.5
2014-11-04,236.6999969482422,430.3999938964844,1610.5,4571.5,203.5500030517578,217.67649841308594,291.006591796875,994.90869140625,2484.0,153.3000030517578
2014-11-05,238.0500030517578,440.1499938964844,1619.5,4620.0,208.5,222.6165008544922,293.06561279296875,1009.0905151367188,2513.0,153.3000030517578
2014-11-06,236.35000610351562,435.8999938964844,1628.0,4591.5,207.4499969482422,229.89990234375,299.92889404296875,1000.3632202148438,2520.0,155.89999389648438
2014-11-07,234.14999389648438,441.29998779296875,1676.0,4597.0,206.9499969482422,233.63650512695312,297.52679443359375,1002.5449829101562,2512.0,161.8000030517578
2014-11-10,234.75,439.6000061035156,1672.0,4611.0,207.85000610351562,244.33990478515625,298.8994140625,1013.9995727539062,2545.0,165.3000030517578
2014-11-11,234.60000610351562,433.75,1655.0,4657.5,219.0500030517578,246.93649291992188,299.75738525390625,1025.4541015625,2568.0,163.39999389648438
2014-11-12,229.5,433.8999938964844,1663.0,4690.0,222.0,242.50320434570312,294.60980224609375,1022.181396484375,2557.0,159.8000030517578
2014-11-13,228.85000610351562,429.95001220703125,1663.0,4732.0,225.6999969482422,242.12319946289062,290.3201904296875,1027.0904541015625,2595.0,158.6999969482422
2014-11-14,232.0,431.79998779296875,1658.0,4655.5,225.3000030517578,246.99989318847656,291.6929016113281,1025.4541015625,2605.0,156.89999389648438
2014-11-17,234.1999969482422,432.45001220703125,1668.5,4596.5,229.0500030517578,244.0865020751953,291.3497009277344,1025.4541015625,2598.0,155.8000030517578
2014-11-18,237.5,437.6000061035156,1660.0,4685.0,228.3000030517578,244.0865020751953,289.97711181640625,1042.3631591796875,2616.0,164.3000030517578
2014-11-19,235.89999389648438,440.1499938964844,1625.0,4766.5,228.60000610351562,245.85989379882812,289.8055114746094,1047.8177490234375,2638.0,167.39999389648438
2014-11-20,234.0,441.3500061035156,1582.5,4711.0,226.85000610351562,244.33990478515625,289.6339111328125,1021.0905151367188,2641.0,160.89999389648438
2014-11-21,236.25,448.20001220703125,1662.0,4741.0,227.8000030517578,246.23989868164062,292.8940124511719,1016.181396484375,2656.0,162.60000610351562
2014-11-24,237.14999389648438,447.20001220703125,1621.0,4711.0,225.0500030517578,244.97320556640625,291.6929016113281,1025.9996337890625,2657.0,163.10000610351562
2014-11-25,238.35000610351562,442.5,1593.5,4676.0,224.5500030517578,238.3231964111328,295.4678039550781,1027.6358642578125,2631.0,176.8000030517578
2014-11-26,238.0,437.8999938964844,1605.5,4660.0,225.64999389648438,237.11990356445312,297.52679443359375,1022.181396484375,2637.0,184.6999969482422
2014-11-27,243.8000030517578,426.20001220703125,1567.0,4720.5,227.35000610351562,235.156494140625,295.1246032714844,1022.181396484375,2677.0,182.6999969482422
2014-11-28,245.14999389648438,420.20001220703125,1517.0,4780.0,233.9499969482422,236.16990661621094,289.11920166015625,1014.5449829101562,2706.0,183.3000030517578
2014-12-01,241.1999969482422,414.5,1484.0,4710.0,227.1999969482422,232.81320190429688,293.2372131347656,1014.5449829101562,2687.0,191.10000610351562
2014-12-02,245.35000610351562,433.8500061035156,1516.0,4684.0,229.9499969482422,237.2465057373047,294.2666931152344,1019.4541015625,2705.0,190.60000610351562
2014-12-03,243.8000030517578,436.8500061035156,1518.5,4674.5,227.35000610351562,238.76649475097656,297.6983947753906,1013.9995727539062,2676.0,186.8000030517578
2014-12-04,242.64999389648438,426.8999938964844,1500.0,4699.0,223.64999389648438,235.66319274902344,302.15948486328125,1011.8178100585938,2680.0,184.6999969482422
2014-12-05,249.4499969482422,424.5,1474.0,4739.5,230.60000610351562,240.15989685058594,308.8512878417969,1014.5449829101562,2729.0,195.60000610351562
2014-12-08,247.14999389648438,417.29998779296875,1437.0,4695.5,229.9499969482422,237.2465057373047,306.277587890625,1011.2722778320312,2713.0,193.0
2014-12-09,238.5,405.95001220703125,1413.5,4561.5,223.60000610351562,221.53990173339844,295.29620361328125,992.181396484375,2664.0,189.60000610351562
2014-12-10,237.6999969482422,399.6000061035156,1386.5,4683.0,222.64999389648438,222.55320739746094,293.75189208984375,989.4541015625,2660.0,189.0
2014-12-11,237.25,398.79998779296875,1361.0,4688.0,222.9499969482422,216.9799041748047,285.34429931640625,982.3632202148438,2654.0,189.0
2014-12-12,232.3000030517578,385.6499938964844,1325.0,4573.0,215.3000030517578,209.9499053955078,277.4513854980469,962.7269287109375,2587.0,184.0
2014-12-15,225.1999969482422,373.25,1276.0,4450.5,213.1999969482422,208.7465057373047,277.7945861816406,938.7269287109375,2542.0,179.1999969482422
2014-12-16,230.14999389648438,383.95001220703125,1318.0,4490.5,219.4499969482422,212.1031951904297,285.5158996582031,956.7269287109375,2573.0,188.39999389648438
2014-12-17,228.10000610351562,397.54998779296875,1327.5,4449.0,219.64999389648438,212.98989868164062,286.0306091308594,967.0905151367188,2562.0,191.6999969482422
2014-12-18,234.6999969482422,402.54998779296875,1330.0,4572.5,225.60000610351562,222.67990112304688,294.0950927734375,991.635986328125,2628.0,198.1999969482422
2014-12-19,237.6999969482422,413.0,1377.5,4565.0,225.0,234.83990478515625,298.7279052734375,994.90869140625,2629.0,201.89999389648438
2014-12-22,240.35000610351562,413.6499938964844,1368.0,4603.0,225.1999969482422,229.26649475097656,299.75738525390625,999.8178100585938,2651.0,203.6999969482422
2014-12-23,243.0500030517578,415.8500061035156,1382.5,4516.5,224.6999969482422,233.82650756835938,300.1004943847656,1000.3632202148438,2671.0,207.10000610351562
2014-12-24,243.14999389648438,416.8500061035156,1369.0,4555.5,225.0,235.5998992919922,300.2720947265625,1002.326904296875,2669.0,208.10000610351562
2014-12-29,242.4499969482422,418.0,1407.0,4557.0,224.8000030517578,238.7032012939453,301.47320556640625,1006.14501953125,2667.0,206.89999389648438
2014-12-30,241.39999389648438,409.29998779296875,1390.0,4542.5,221.0500030517578,236.73989868164062,294.9530029296875,992.7269287109375,2623.0,209.89999389648438
2014-12-31,243.5,411.0,1388.5,4555.5,222.64999389648438,239.39990234375,298.5563049316406,1001.5631713867188,2628.0,212.0
2015-01-02,243.14999389648438,410.45001220703125,1378.0,4580.0,221.89999389648438,238.13319396972656,296.6689147949219,990.872314453125,2606.0,212.39999389648438
2015-01-05,234.6999969482422,389.70001220703125,1316.5,4583.5,216.4499969482422,230.02650451660156,292.8940124511719,992.3995971679688,2573.0,204.89999389648438
2015-01-06,230.35000610351562,391.04998779296875,1324.5,4488.5,215.35000610351562,226.4799041748047,293.06561279296875,978.326904296875,2574.0,199.1999969482422
2015-01-07,230.60000610351562,393.75,1341.5,4479.5,216.0,230.533203125,294.9530029296875,1000.90869140625,2591.0,198.8000030517578
2015-01-08,237.0500030517578,405.0,1387.5,4572.5,225.75,265.0498046875,302.6742858886719,1017.1632080078125,2668.0,205.3000030517578
2015-01-09,231.0,398.6499938964844,1376.0,4587.0,224.89999389648438,258.5264892578125,295.8109130859375,1006.3632202148438,2626.0,203.1999969482422
2015-01-12,231.39999389648438,396.54998779296875,1351.0,4672.5,226.8000030517578,259.09649658203125,298.04150390625,1004.29052734375,2678.0,205.1999969482422
2015-01-13,233.0,396.29998779296875,1357.0,4717.0,229.0,268.533203125,295.9825134277344,1015.6359252929688,2703.0,209.6999969482422
2015-01-14,223.5500030517578,382.1499938964844,1285.0,4680.0,225.25,271.0664978027344,292.5508117675781,987.2722778320312,2679.0,203.39999389648438
2015-01-15,227.9499969482422,392.6000061035156,1348.0,4729.0,227.89999389648438,277.71649169921875,292.722412109375,993.7086791992188,2732.0,207.39999389648438
2015-01-16,224.35000610351562,413.3500061035156,1388.0,4715.0,227.8000030517578,277.46319580078125,295.4678039550781,1000.2540893554688,2747.0,204.0
2015-01-19,230.0,408.8999938964844,1368.0,4725.0,229.4499969482422,280.4397888183594,298.38470458984375,1005.1632080078125,2729.0,206.10000610351562
2015-01-20,235.25,412.20001220703125,1392.5,4708.0,230.0,284.8731994628906,302.84588623046875,1011.599609375,2713.0,207.5
2015-01-21,237.89999389648438,426.0,1427.0,4711.5,238.14999389648438,290.0664978027344,306.1059875488281,1017.599609375,2778.0,205.60000610351562
2015-01-22,243.39999389648438,428.3999938964844,1452.0,4689.5,238.6999969482422,298.7431945800781,308.5082092285156,1019.9995727539062,2785.0,215.60000610351562
2015-01-23,243.14999389648438,432.3999938964844,1425.0,4733.5,239.89999389648438,298.0465087890625,309.5376892089844,1022.0723266601562,2854.0,227.0
2015-01-26,240.75,439.0,1431.5,4700.0,238.64999389648438,291.33319091796875,309.88079833984375,1016.5087280273438,2892.0,228.3000030517578
2015-01-27,239.4499969482422,440.6000061035156,1417.5,4725.0,236.6999969482422,291.6498107910156,301.6448059082031,1024.3631591796875,2886.0,226.0
2015-01-28,236.85000610351562,432.95001220703125,1422.5,4743.5,237.25,288.35650634765625,302.84588623046875,1037.8905029296875,2897.0,225.3000030517578
2015-01-29,236.5500030517578,424.8500061035156,1413.5,4761.5,237.64999389648438,287.533203125,304.56170654296875,1033.6358642578125,2952.0,225.0
2015-01-30,234.14999389648438,424.45001220703125,1443.0,4743.0,234.5,284.6831970214844,305.93438720703125,1020.5449829101562,2930.0,222.0
2015-02-02,235.85000610351562,437.70001220703125,1484.0,4682.0,233.85000610351562,289.2431945800781,303.360595703125,1018.90869140625,2914.0,224.6999969482422
2015-02-03,248.4499969482422,449.8500061035156,1558.5,4641.5,236.89999389648438,293.9298095703125,306.79229736328125,1014.5449829101562,2898.0,231.3000030517578
2015-02-04,248.75,445.3500061035156,1527.0,4688.0,236.5,290.7632141113281,308.6796875,1007.1268920898438,2884.0,232.10000610351562
2015-02-05,248.8000030517578,450.1000061035156,1538.0,4529.0,230.89999389648438,294.3731994628906,315.0282897949219,1000.3632202148438,2835.0,233.10000610351562
2015-02-06,255.4499969482422,450.6000061035156,1505.0,4467.0,231.39999389648438,289.6864929199219,312.96929931640625,991.9631958007812,2802.0,232.8000030517578
2015-02-09,253.64999389648438,457.1000061035156,1542.5,4466.5,228.8000030517578,295.6398010253906,309.5376892089844,971.017822265625,2804.0,231.39999389648438
2015-02-10,253.1999969482422,446.3500061035156,1495.0,4488.0,230.9499969482422,306.34320068359375,315.0282897949219,972.872314453125,2811.0,232.0
2015-02-11,251.0,445.79998779296875,1473.5,4491.0,229.89999389648438,307.039794921875,310.56719970703125,980.3995971679688,2819.0,226.39999389648438
2015-02-12,253.35000610351562,444.29998779296875,1494.5,4504.5,231.3000030517578,308.4331970214844,310.56719970703125,975.9268798828125,2795.0,235.0
2015-02-13,256.45001220703125,454.20001220703125,1569.0,4551.0,232.39999389648438,306.0264892578125,324.122314453125,971.1268920898438,2789.0,235.39999389648438
2015-02-16,258.79998779296875,451.8999938964844,1589.0,4468.5,230.0,307.039794921875,321.37701416015625,959.5631713867188,2749.0,237.8000030517578
2015-02-17,257.54998779296875,452.0,1587.5,4552.5,231.25,309.5097961425781,316.5726013183594,962.6177978515625,2801.0,235.5
2015-02-18,260.3500061035156,451.29998779296875,1587.5,4485.0,225.4499969482422,307.4197998046875,320.69061279296875,953.4541015625,2770.0,238.8000030517578
2015-02-19,260.3999938964844,445.70001220703125,1572.0,4427.5,228.39999389648438,303.9364929199219,330.127685546875,972.1087036132812,2805.0,242.0
2015-02-20,261.5,446.70001220703125,1581.0,4413.5,232.39999389648438,304.7597961425781,328.0686950683594,980.7269287109375,2800.0,243.6999969482422
2015-02-23,262.8500061035156,444.6000061035156,1547.0,4483.0,232.6999969482422,304.5065002441406,326.00970458984375,979.0905151367188,2842.0,248.10000610351562
2015-02-24,264.0,448.3500061035156,1643.5,4507.0,226.5,301.97320556640625,321.37701416015625,989.1268920898438,2861.0,249.10000610351562
2015-02-25,262.8999938964844,449.3999938964844,1640.0,4501.5,223.6999969482422,305.1398010253906,322.2348937988281,984.2177734375,2841.0,248.6999969482422
2015-02-26,262.1000061035156,448.0,1615.5,4465.0,224.6999969482422,311.59979248046875,323.77911376953125,971.2360229492188,2868.0,250.5
2015-02-27,256.8999938964844,448.04998779296875,1616.5,4469.5,224.39999389648438,310.8398132324219,325.6665954589844,967.1995849609375,2866.0,250.8000030517578
2015-03-02,262.75,446.6499938964844,1595.5,4475.5,224.6999969482422,312.48651123046875,320.69061279296875,966.4359741210938,2875.0,249.6999969482422
2015-03-03,254.3000030517578,448.6000061035156,1598.5,4431.5,225.0,310.2698059082031,321.5484924316406,964.90869140625,2871.0,247.6999969482422
2015-03-04,262.3999938964844,451.04998779296875,1573.5,4423.5,227.35000610351562,308.1164855957031,326.00970458984375,951.2722778320312,2880.0,245.0
2015-03-05,266.0,452.6000061035156,1577.0,4486.5,226.25,311.5364990234375,338.0205993652344,959.9995727539062,2913.0,244.39999389648438
2015-03-06,265.0,447.0,1550.5,4415.5,219.89999389648438,307.16650390625,338.7070007324219,944.181396484375,2871.0,243.39999389648438
2015-03-09,262.70001220703125,445.70001220703125,1543.5,4361.0,219.10000610351562,304.3797912597656,341.6239013671875,947.8905029296875,2828.0,239.1999969482422
2015-03-10,254.3000030517578,428.1000061035156,1471.0,4272.0,215.5500030517578,298.0465087890625,333.902587890625,929.017822265625,2799.0,231.60000610351562
2015-03-11,255.0,425.1499938964844,1472.0,4304.5,217.1999969482422,298.23651123046875,334.9320983886719,930.9813842773438,2823.0,232.89999389648438
2015-03-12,254.5,425.8500061035156,1435.5,4479.0,216.89999389648438,298.6164855957031,332.87310791015625,933.2722778320312,2819.0,226.6999969482422
2015-03-13,250.0,418.25,1389.5,4557.0,218.9499969482422,294.9432067871094,332.7015075683594,928.0360107421875,2845.0,227.39999389648438
2015-03-16,251.85000610351562,417.6000061035156,1416.0,4634.5,222.60000610351562,305.7098083496094,333.0447082519531,928.5814208984375,2886.0,231.89999389648438
2015-03-17,250.0,425.8999938964844,1463.0,4640.0,221.5500030517578,300.3898010253906,331.6719970703125,942.76318359375,2880.0,235.0
2015-03-18,252.35000610351562,436.1000061035156,1458.0,4750.0,225.75,306.27978515625,337.6773986816406,961.0905151367188,2926.0,237.5
2015-03-19,252.8000030517578,440.8999938964844,1485.5,4785.5,225.89999389648438,307.5465087890625,337.1626892089844,969.0540771484375,2897.0,239.5
2015-03-20,255.3000030517578,451.0,1539.0,4847.0,228.25,310.1431884765625,338.8785095214844,970.0360107421875,2900.0,235.0
2015-03-23,257.1499938964844,447.8999938964844,1591.0,4840.0,227.64999389648438,312.35980224609375,338.7070007324219,972.872314453125,2905.0,224.89999389648438
2015-03-24,258.45001220703125,444.1499938964844,1591.0,4832.0,226.9499969482422,308.6231994628906,339.2217102050781,972.9813842773438,2907.0,231.1999969482422
2015-03-25,251.89999389648438,448.3500061035156,1585.0,4761.5,224.25,303.176513671875,336.64788818359375,975.9268798828125,2880.0,244.0
2015-03-26,250.0,446.1000061035156,1542.5,4691.0,224.0,301.46649169921875,330.127685546875,962.29052734375,2855.0,235.10000610351562
2015-03-27,244.25,443.6000061035156,1507.5,4686.0,224.6999969482422,301.783203125,325.15179443359375,961.635986328125,2851.0,239.89999389648438
2015-03-30,247.8000030517578,446.1000061035156,1512.0,4726.5,224.35000610351562,305.20318603515625,329.9562072753906,964.7996215820312,2887.0,241.60000610351562
2015-03-31,242.60000610351562,436.70001220703125,1473.5,4626.5,220.4499969482422,306.34320068359375,327.0392150878906,943.3087158203125,2815.0,240.10000610351562
2015-04-01,249.3000030517578,442.1000061035156,1470.0,4640.5,220.0500030517578,308.1164855957031,326.00970458984375,958.3632202148438,2813.0,234.3000030517578
2015-04-02,254.75,442.8500061035156,1431.5,4645.0,222.1999969482422,309.4465026855469,323.77911376953125,956.6177978515625,2856.0,233.0
2015-04-07,258.0,454.8500061035156,1470.5,4707.0,225.39999389648438,317.9331970214844,326.69610595703125,974.5087280273438,2914.0,233.8000030517578
2015-04-08,255.9499969482422,457.29998779296875,1469.0,4697.0,222.5500030517578,312.676513671875,323.9507141113281,968.9451293945312,2882.0,234.60000610351562
2015-04-09,257.95001220703125,463.70001220703125,1453.0,4764.5,225.6999969482422,312.6131896972656,326.00970458984375,987.2722778320312,2919.0,238.60000610351562
2015-04-10,257.04998779296875,472.25,1463.5,4753.0,229.3000030517578,317.9331970214844,334.5888977050781,989.9995727539062,2935.0,241.3000030517578
2015-04-13,259.45001220703125,471.0,1416.0,4718.5,229.1999969482422,309.4465026855469,332.5299072265625,984.76318359375,2913.0,240.0
2015-04-14,262.1499938964844,470.95001220703125,1459.5,4800.0,229.35000610351562,309.3197937011719,334.0741882324219,988.14501953125,2911.0,242.0
2015-04-15,259.6499938964844,475.79998779296875,1472.0,4857.5,227.89999389648438,312.73980712890625,338.535400390625,980.29052734375,2934.0,241.39999389648438
2015-04-16,260.3500061035156,473.45001220703125,1469.5,4828.5,227.39999389648438,305.3298034667969,336.3048095703125,980.7269287109375,3011.0,241.0
2015-04-17,255.3000030517578,479.3500061035156,1446.0,4750.0,226.39999389648438,299.8197937011719,335.7900085449219,968.29052734375,2992.0,238.6999969482422
2015-04-20,257.25,483.3999938964844,1481.5,4803.0,229.0,297.66650390625,336.9910888671875,976.2540893554688,3010.0,243.0
2015-04-21,255.0,480.0,1463.0,4855.0,226.89999389648438,297.34979248046875,345.5703125,978.4359741210938,3015.0,244.39999389648438
2015-04-22,253.3000030517578,479.75,1483.0,4863.0,227.5,282.023193359375,359.64019775390625,964.1450805664062,2985.0,240.0
2015-04-23,258.45001220703125,484.1499938964844,1531.5,4830.0,230.35000610351562,285.3797912597656,355.1789855957031,969.599609375,2975.0,238.3000030517578
2015-04-24,261.75,478.3999938964844,1564.0,4749.5,232.25,284.7464904785156,360.32659912109375,988.4722900390625,2974.0,241.39999389648438
2015-04-27,263.75,476.8999938964844,1569.0,4705.5,232.60000610351562,279.6798095703125,361.6991882324219,982.90869140625,2979.0,248.8000030517578
2015-04-28,261.3999938964844,476.1000061035156,1589.5,4548.0,229.75,278.72979736328125,356.20849609375,979.0905151367188,2929.0,243.6999969482422
2015-04-29,256.95001220703125,468.1499938964844,1564.0,4457.5,230.39999389648438,279.23651123046875,353.46319580078125,958.2540893554688,2846.0,239.10000610351562
2015-04-30,255.3000030517578,470.1000061035156,1561.0,4496.5,230.5500030517578,279.9331970214844,358.9538879394531,958.90869140625,2866.0,242.60000610351562
