Date,AMZN,META,GOOG,BA,TSLA,AAPL,WMT,NFLX,XOM,JNJ
2015-02-03,18.177499771118164,75.4000015258789,26.38954734802246,147.33999633789062,14.557332992553711,29.662500381469727,28.729999542236328,65.27428436279297,92.25,102.45999908447266
2015-02-04,18.237499237060547,75.62999725341797,26.066434860229492,147.22000122070312,14.569999694824219,29.889999389648438,28.883333206176758,64.10143280029297,91.45999908447266,101.36000061035156
2015-02-05,18.694499969482422,75.61000061035156,26.306774139404297,148.60000610351562,14.732666969299316,29.985000610351562,29.093332290649414,64.12999725341797,92.36000061035156,102.45999908447266
2015-02-06,18.714000701904297,74.47000122070312,26.477306365966797,148.0,14.490667343139648,29.732500076293945,29.110000610351562,63.47999954223633,91.5,101.0999984741211
2015-02-09,18.527999877929688,74.44000244140625,26.31924057006836,147.5800018310547,14.498666763305664,29.93000030517578,28.636667251586914,63.29571533203125,91.55999755859375,99.77999877929688
2015-02-10,18.649999618530273,75.19000244140625,26.77349281311035,148.0399932861328,14.419333457946777,30.5049991607666,29.09666633605957,64.8499984741211,91.01000213623047,100.3499984741211
2015-02-11,18.756999969482422,76.51000213623047,26.725126266479492,147.9199981689453,14.186667442321777,31.219999313354492,28.780000686645508,64.98428344726562,90.5999984741211,100.37999725341797
2015-02-12,18.85849952697754,76.2300033569336,27.072172164916992,148.08999633789062,13.525333404541016,31.614999771118164,28.6299991607666,65.24714660644531,92.37000274658203,98.44000244140625
2015-02-13,19.09149932861328,75.73999786376953,27.375341415405273,149.72999572753906,13.584667205810547,31.770000457763672,28.60333251953125,66.5857162475586,93.37000274658203,99.62000274658203
2015-02-17,18.771499633789062,75.5999984741211,27.067686080932617,149.9199981689453,13.623332977294922,31.957500457763672,28.65333366394043,67.13714599609375,93.05000305175781,100.44000244140625
2015-02-18,18.668500900268555,76.70999908447266,26.911115646362305,151.1699981689453,13.630666732788086,32.18000030517578,28.76333236694336,67.86571502685547,91.01000213623047,99.95999908447266
2015-02-19,18.950000762939453,79.41999816894531,27.069181442260742,153.75,14.11400032043457,32.11249923706055,27.84000015258789,67.80000305175781,89.44000244140625,100.69999694824219
2015-02-20,19.183000564575195,79.9000015258789,26.87371826171875,158.30999755859375,14.473999977111816,32.375,28.100000381469727,68.31428527832031,89.91999816894531,100.26000213623047
2015-02-23,19.006999969482422,78.83999633789062,26.522682189941406,154.74000549316406,13.822667121887207,33.25,28.200000762939453,67.40571594238281,89.01000213623047,100.18000030517578
2015-02-24,18.929500579833984,78.44999694824219,26.731109619140625,154.3800048828125,13.607333183288574,33.04249954223633,28.190000534057617,67.83999633789062,89.41999816894531,100.69999694824219
2015-02-25,19.26849937438965,79.55999755859375,27.11904525756836,153.00999450683594,13.583999633789062,32.1974983215332,27.856666564941406,68.33285522460938,89.5999984741211,101.20999908447266
2015-02-26,19.239999771118164,80.41000366210938,27.697954177856445,151.72999572753906,13.812666893005371,32.60499954223633,27.933332443237305,69.00428771972656,88.6500015258789,102.80000305175781
